parcel,sprice,abstrprd,livearea,finbsmnt,basement,yrbuilt,totunits,stories,nocars,numbdrm,numbaths,deduct,netprice,tasp,smonth,syear,condition_AVG,condition_Excel,condition_Fair,condition_Good,condition_VGood,quality_A,quality_B,quality_C,quality_D,quality_X,gartype_Att,gartype_Att/Det,gartype_CP,gartype_Det,gartype_None,gartype_att/CP,gartype_det/CP,arcstyle_BI-LEVEL,arcstyle_CONVERSIONS,arcstyle_END UNIT,arcstyle_MIDDLE UNIT,arcstyle_ONE AND HALF-STORY,arcstyle_ONE-STORY,arcstyle_SPLIT LEVEL,arcstyle_THREE-STORY,arcstyle_TRI-LEVEL,arcstyle_TRI-LEVEL WITH BASEMENT,arcstyle_TWO AND HALF-STORY,arcstyle_TWO-STORY,qualified_Q,qualified_U,status_I,status_V,before1980
00102-08-065-065,100000,1130,1346,0,0,2004,1,2,2,2,2,0,100000,100000,2,2012,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-073-073,94700,1130,1249,0,0,2005,1,1,1,2,2,0,94700,94700,4,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-078-078,89500,1130,1346,0,0,2005,1,2,1,2,2,0,89500,89500,10,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-081-081,92000,1130,1146,0,0,2005,1,1,0,2,2,3220,88780,88780,10,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-086-086,74199,1130,1249,0,0,2005,1,1,1,2,2,0,74199,74199,3,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
00102-08-086-086,105900,1130,1249,0,0,2005,1,1,1,2,2,1000,104900,104900,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-088-088,69000,1130,1098,0,0,2005,1,2,0,1,1,0,69000,69000,8,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-127-127,90000,1130,1346,0,0,2005,1,2,1,2,2,0,90000,90000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-133-133,100000,1130,1249,0,0,2006,1,1,1,2,2,0,100000,100000,8,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-141-141,92000,1130,1346,0,0,2006,1,2,1,2,2,0,92000,92000,12,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
00102-08-143-143,70000,1130,1098,0,0,2006,1,2,1,1,1,0,70000,70000,2,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
00141-01-002-000,350000,1112,3902,1125,1540,2005,1,2,3,4,5,0,350000,350000,8,2010,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
00141-04-011-000,175000,1112,2732,0,0,2003,1,2,2,4,3,0,175000,175000,3,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
00141-05-012-000,175000,1112,2927,0,0,2005,1,2,2,4,3,0,175000,175000,3,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-13-002-000,178200,1112,2811,0,0,2004,1,2,2,4,3,5300,172900,172900,11,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-13-004-000,210000,1112,3106,0,1357,2005,1,2,2,4,3,4200,205800,205800,7,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-15-003-000,175285,1112,2732,0,0,2004,1,2,2,4,3,0,175285,175285,5,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-16-005-000,190600,1112,2564,0,0,2004,1,2,2,4,3,4600,186000,186000,2,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-21-010-000,128250,1112,1731,0,0,2004,1,2,2,3,3,0,128250,128250,7,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-21-024-000,125000,1112,1508,0,0,2004,1,2,2,3,3,3750,121250,121250,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-21-030-000,115000,1112,1508,0,0,2004,1,2,2,3,3,3200,111800,111800,3,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-21-036-000,155000,1112,1508,0,0,2004,1,2,2,3,3,0,155000,155000,5,2012,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-21-038-000,150000,1112,1754,0,0,2004,1,2,2,3,3,4500,145500,145500,6,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-21-045-000,145000,1112,1754,0,0,2004,1,2,2,4,3,4350,140650,140650,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-21-054-000,145900,1112,1508,0,0,2004,1,2,2,3,3,4312,141588,141588,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-21-060-000,109000,1112,1243,0,0,2004,1,2,1,2,2,3270,105730,105730,8,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-22-005-000,122000,1112,1754,0,0,2004,1,2,2,3,3,0,122000,122000,12,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-22-010-000,124000,1112,1754,0,0,2004,1,2,2,4,3,2000,122000,122000,11,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-23-001-000,160000,1112,1508,0,0,2004,1,2,2,3,3,5000,155000,155000,11,2011,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-23-004-000,127000,1112,1508,0,0,2004,1,2,2,3,3,0,127000,127000,1,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
00141-23-004-000,143500,1112,1508,0,0,2004,1,2,2,3,3,4300,139200,139200,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-23-005-000,136500,1112,1731,0,0,2004,1,2,2,3,3,4095,132405,132405,1,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-23-008-000,134500,1112,1508,0,0,2004,1,2,2,4,3,4035,130465,130465,1,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-23-011-000,142900,1112,1508,0,0,2004,1,2,2,3,3,0,142900,142900,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
