installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,zip_code,city,state,lzip_code_id,zip_code_id,lzip_income,zip_income
8/8/2004,1.18,15,5.083746215072061,121268,4.698726731303345,49972,94087,Sunnyvale,CA,4.440767441,27591,6.709265805,5119951
10/7/2001,1.07,11.7684,5.006324820099532,101467,4.644748689075375,44131.5,94027,Atherton,CA,4.441050677,27609,6.748695777,5606551
2/25/2004,1.02,10.395,4.996292718541321,99150,4.535294120042771,34300,95076,Watsonville,CA,4.431395933,27002,6.346331455,2219890
5/8/2003,1.08,11.9472,4.990754388543864,97893.62,4.644255674569584,44081.43,95926,Chico,CA,4.376558709,23799,5.962946275,918219
4/4/2003,1.08,12,4.987666264926275,97200,4.648891574286965,44554.5,93426,Cobb,CA,3.916980047,8260,4.581323751,38135
3/10/2004,1.10,12.5,4.979493743031352,95388,4.6020599913279625,40000,94027,Atherton,CA,4.441050677,27609,6.748695777,5606551
5/8/2005,1.13,13.365,4.9656249671092425,92390,4.519499852859538,33075,92262,Palm Springs,CA,4.374308331,23676,5.951720637,894789
6/3/2004,1.16,14.4,4.9538905883616975,89927.1,4.676693609624866,47500,90275,Rancho Palos Verdes,CA,4.439048335,27482,6.555046661,3589605
11/3/2002,0.95,8.91,4.950622822672735,89253,4.521327719102561,33214.5,94010,Hillsborough,CA,4.441553751,27641,6.899265958,7929868
7/22/2005,1.01,10.15,4.948108804248142,88737.83,4.394775354736571,24818.49,94558,Napa,CA,4.43841576,27442,6.522444886,3330005
3/21/2002,0.96,9.17568,4.941908774,87480,4.536646807458353,34407,94028,Portola Valley,CA,4.433145537,27111,6.375528825,2374263
6/12/2004,1.08,12,4.937312281,86559.01,4.5312182621488235,33979.6,95120,San Jose,CA,4.43977466,27528,6.603664132,4014802
10/29/2003,1.08,12.16,4.9168591010246105,82577,4.608611600414611,40608,94599,Napa,CA,4.208199417,16151,5.250927196,178208
9/12/2002,0.98,9.6,4.916769684283136,82560,4.760422483423212,57600,11940,East Moriches,NY,4.256958153,18070,5.438450576,274442
12/30/2005,1.06,11.39,4.901188833546502,79650.56,4.484769904429174,30533.03,95212,Stockton,CA,4.363047595,23070,5.898852929,792233
8/15/2002,1.00,9.9,4.900522791230999,79528.5,4.5789370407114065,37926,95404,Santa Rosa,CA,4.42258984,26460,6.246242951,1762962
1/5/2005,1.18,15.18,4.899798623060765,79396,4.598221285,39648,95616,Davis,CA,4.417388646,26145,6.199695951,1583784
5/11/2005,1.18,14.99,4.897159561,78915,4.778151250383644,60000,11788,Hauppauge,NY,4.381133138,24051,5.982875206,961336
3/11/2005,1.04,11.025,4.886895840080974,77071.86,4.455222608070064,28524.8,94022,Los Altos Hills,CA,4.441255121,27622,6.790314163,6170412
4/9/2004,1.07,11.88,4.877102276,75353.3,4.571009672309305,37240,94945,Grass Valley,CA,4.392345155,24680,6.042921865,1103880
1/6/2005,0.90,7.92,4.875222096283384,75027.78,4.394889257167419,24825,93117,Goleta,CA,4.410422907,25729,6.148500547,1407669
8/11/2005,0.97,9.24,4.869231719730976,74000,4.382647303154711,24135,95127,San Jose,CA,4.428572109,26827,6.306912665,2027275
11/8/2003,1.07,11.88,4.846058505154181,70154.98,4.593286067020458,39200,91901,Alpine,CA,4.354146871,22602,5.859535168,723661
10/27/2005,1.01,10.2,4.842160486473716,69528.12,4.3765495846929685,23798.5,95361,Oakdale,CA,4.389378748,24512,6.02578128,1061161
12/3/2002,1.02,10.56,4.8383143906765484,68915.1,4.778151250383644,60000,11901,Riverhead,NY,4.354204511,22605,5.859728968,723984
8/2/2003,0.95,9,4.837702046930868,68818,4.536646807458353,34407,91361,Thousand Oaks,CA,4.435796604,27277,6.435131526,2723526
4/26/2002,0.86,7.2,4.835056101720117,68400,4.439750994273146,27526.5,92262,Palm Springs,CA,4.374308331,23676,5.951720637,894789
2/21/2003,0.91,8.1,4.828279561,67341,4.4711082709371395,29587.5,94596,Walnut Creek,CA,4.425501615,26638,6.275348677,1885162
4/8/2005,1.07,11.84,4.824711443464734,66790,4.555904214916626,35967,95476,Sonoma,CA,4.425322238,26627,6.2735545,1877390
11/5/2005,0.98,9.45,4.811072059,64725,4.343574007815342,22058.4,92123,San Diego,CA,4.392767279,24704,6.04473413,1108496
5/29/2004,0.82,6.66,4.796636767226257,62609,4.298451331933021,19881.6,94901,San Rafael,CA,4.436544277,27324,6.459899321,2883363
