installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,zip_code,city,state,lzip_code_id,zip_code_id,lzip_income,zip_income,zip_income1
########,0.623514956,4.20257,4.079181,12000,0,1,94025,MENLO PARK,CA,4.441600884,27644,6.910014471,8128576,8128.576
########,0.670760113,4.685545,4.423246,26500.03,0,1,94025,MENLO PARK,CA,4.441600884,27644,6.910014471,8128576,8128.576
4/15/2022,0.846955325,7.03,4.553581,35775.11,0,1,94025,MENLO PARK,CA,4.441600884,27644,6.910014471,8128576,8128.576
2/9/2021,0.760422483,5.76,4.372175,23560,0,1,94010,BURLINGAME,CA,4.441553751,27641,6.899265958,7929868,7929.868
1/11/2021,0.978220246,9.51087,4.462398,29000,0,1,94010,BURLINGAME,CA,4.441553751,27641,6.899265958,7929868,7929.868
1/21/2022,1.008600172,10.2,4.477121,30000,0,1,94010,HILLSBOROUGH,CA,4.441553751,27641,6.899265958,7929868,7929.868
########,0.79518459,6.24,4.529965,33881.7,0,1,94010,BURLINGAME,CA,4.441553751,27641,6.899265958,7929868,7929.868
11/6/2021,0.664641976,4.62,4.567732,36960,0,1,94010,BURLINGAME,CA,4.441553751,27641,6.899265958,7929868,7929.868
########,1.084933575,12.16,4.652246,44900,3.385964,2432,10583,Scarsdale,NY,4.441538039,27640,6.883099555,7640109,7640.109
12/5/2022,1.120573931,13.2,4.555295,35916.58,3.39794,2500,78746,-1,TX,4.441428037,27633,6.832090255,6793448,6793.448
5/4/2022,1.087781418,12.24,4.434138,27173,3,1000,20854,-1,MD,4.44141232,27632,6.819268861,6595821,6595.821
########,1.212720154,16.32,4.515874,32800,3,1000,20854,-1,MD,4.44141232,27632,6.819268861,6595821,6595.821
7/19/2022,0.306425028,2.025,3.908485,8100,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,0.64738297,4.44,4.103804,12700,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,0.574031268,3.75,4.143015,13900,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
7/12/2021,0.786751422,6.12,4.145332,13974.35,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
9/1/2021,0.707570176,5.1,4.322219,21000,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,0.760936773,5.766825,4.342418,21999.74,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,0.786751422,6.12,4.351216,22450,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
7/26/2021,0.879036038,7.568957,4.487753,30743.5,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,0.936513742,8.64,4.547346,35265.16,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
7/15/2021,0.912837924,8.181594,4.620897,41773.1,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
7/18/2022,0.881954971,7.62,4.638509,43502,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
7/22/2021,1.07114529,11.78,4.662663,45990,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
10/4/2022,0.656098202,4.53,4.685616,48485.99,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,0.53568443,3.433084,4.694623,49502,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,1.247482261,17.68,4.786055,61101.89,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,1.237543738,17.28,4.807265,64160.05,0,1,95070,SARATOGA,CA,4.441396603,27631,6.817673037,6571629,6571.629
########,0.658011397,4.55,4.068186,11700,0,1,95014,CUPERTINO,CA,4.441302287,27625,6.799205415,6298040,6298.04
1/11/2021,0.720159303,5.25,4.164353,14600,0,1,95014,CUPERTINO,CA,4.441302287,27625,6.799205415,6298040,6298.04
