data_provider_1,data_provider_2,system_ID_1,system_ID_2,installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,expansion_system,multiple_phase_system,TTS_link_ID,new_construction,tracking,ground_mounted,zip_code,city,state,utility_service_territory,third_party_owned,installer_name,self_installed,azimuth_1,azimuth_2,azimuth_3,tilt_1,tilt_2,tilt_3,module_manufacturer_1,module_model_1,module_quantity_1,module_manufacturer_2,module_model_2,module_quantity_2,module_manufacturer_3,module_model_3,module_quantity_3,additional_modules,technology_module_1,technology_module_2,technology_module_3,BIPV_module_1,BIPV_module_2,BIPV_module_3,bifacial_module_1,bifacial_module_2,bifacial_module_3,nameplate_capacity_module_1,nameplate_capacity_module_2,nameplate_capacity_module_3,efficiency_module_1,efficiency_module_2,efficiency_module_3,inverter_manufacturer_1,inverter_model_1,inverter_quantity_1,inverter_manufacturer_2,inverter_model_2,inverter_quantity_2,inverter_manufacturer_3,inverter_model_3,inverter_quantity_3,additional_inverters,micro_inverter_1,micro_inverter_2,micro_inverter_3,built_in_meter_inverter_1,built_in_meter_inverter_2,built_in_meter_inverter_3,output_capacity_inverter_1,output_capacity_inverter_2,output_capacity_inverter_3,DC_optimizer,inverter_loading_ratio,battery_manufacturer,battery_model,battery_rated_capacity_kW,battery_rated_capacity_kWh,battery_price,technology_type,extensions_multiphase_id
California Public Utilities Commission,-1,PGE-INT-124192656,-1,19-Aug-2022,13.785016286645,40500.0,0.0,RES,0,0,-1,-1,1,0,95762,EL DORADO HILLS,CA,Pacific Gas and Electric,0,Fuzion Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,"China Sunergy (Nanjing) Co.,Ltd.",CSUN300-60MM5BB,46,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,SolarEdge Technologies Ltd.,SE10000H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,9.994,-1.0,-1.0,1,1.37932922620022,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Xcel Energy,-1,SRO21828,-1,01-Jan-2013,4.8,24480.0,-1.0,RES,0,0,-1,-1,-1,-1,-1,-1,CO,Xcel Energy,1,redacted,-1,81.0,-1.0,-1.0,18.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.14285714285714,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Texas Public Utilities Commission,-1,Centerpoint_DG-35124,-1,01-Jul-2022,10.27832504,-1.0,-1.0,-1,0,0,-1,-1,-1,-1,-1,-1,TX,Centerpoint,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.178707,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113399629,-1,12-Aug-2014,6.867,-1.0,0.0,RES,0,0,-1,-1,0,-1,94952,PETALUMA,CA,Pacific Gas and Electric,1,Smart Energy USA,0,-1.0,-1.0,-1.0,-1.0,-1,-1,SunPower,SPR-327NE-WHT-D,21,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,327.0,-1.0,-1.0,0.200525659312424,-1.0,-1.0,ABB,PVI-6000-OUTD-US-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,1.1445,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SDGE-INT-387451,-1,13-Dec-2022,8.0,18760.0,0.0,RES,0,0,-1,-1,0,0,92082,VALLEY CENTER,CA,San Diego Gas and Electric,0,Solar Permit Specialists,0,175.0,-1.0,-1.0,18.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10 400,20,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,400.0,-1.0,-1.0,0.208333333333333,-1.0,-1.0,Enphase Energy Inc.,IQ8PLUS-72-2-US [240V],20.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.290308654785156,-1.0,-1.0,0,1.3778438686095,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New York State Energy Research and Development Authority,-1,117697,-1,20-Jul-2018,6.18,32828.5,1853.0,RES,0,0,-1,-1,-1,-1,11413,Springfield Gardens,NY,Consolidated Edison,1,Sunnova Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,LG Electronics Inc.,LG325E1C-A5,19,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,325.0,-1.0,-1.0,0.196969696969697,-1.0,-1.0,Enphase Energy Inc.,IQ6PLUS-72-2-US [208V],19.0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0.28,-1.0,-1.0,0,1.16165413533835,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-SCE-50522,-1,26-Feb-2016,8.215,42061.0,0.0,RES,0,0,-1,-1,0,0,91722,COVINA,CA,Southern California Edison,1,Tesla Energy,0,90.0,-1.0,-1.0,18.0,-1,-1,Kyocera Solar,KU265-6ZPA,18,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,265.0,-1.0,-1.0,0.167060361745573,-1.0,-1.0,ABB,PVI-6000-OUTD-US-Z-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,1.36916666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Massachusetts Clean Energy Center,Massachusetts Department of Energy Resources,NFG-SR25630-47433,-1,16-Dec-2015,10.14,56784.0,0.0,RES,0,0,-1,-1,0,0,01824,Chelmsford,MA,National Grid,1,Tesla Energy,0,294.0,-1.0,-1.0,20.0,-1,-1,Trina Solar,TSM-400DE15H(II),39,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,400.0,-1.0,-1.0,0.201418793984829,-1.0,-1.0,SolarEdge Technologies Ltd.,SE10000A-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,9.94,-1.0,-1.0,1,1.02012072434608,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-NST-231760,-1,20-Oct-2021,12.6247,12837.62,0.0,RES,1,1,tts_extension_id_36024,-1,0,0,93535,LANCASTER,CA,Southern California Edison,1,Freedom Forever,0,90.0,-1.0,-1.0,20.0,-1,-1,"LONGi Green Energy Technology Co., Ltd.",LR4-60HPB-350M,9,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,350.0,-1.0,-1.0,0.19774011299435,-1.0,-1.0,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],9.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.29,-1.0,-1.0,0,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,00000000CF42A8F5
California Public Utilities Commission,-1,PGE-INT-113595713,-1,28-Jun-2017,3.9,19968.0,0.0,RES,0,0,-1,-1,0,0,94546,CASTRO VALLEY,CA,Pacific Gas and Electric,1,Tesla Energy,0,168.0,-1.0,-1.0,22.0,-1,-1,REC Solar,REC260PE Z-LINK,15,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,260.0,-1.0,-1.0,0.163846924120599,-1.0,-1.0,ABB,PVI-3.0-OUTD-S-US-Z-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.0,-1.0,-1.0,0,1.3,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
