installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,customer_segment,expansion_system,multiple_phase_system,zip_code,city,state,third_party_owned,self_installed,azimuth_1,module_quantity_1,additional_modules,BIPV_module_1,bifacial_module_1,lnameplate_capacity_module_1,nameplate_capacity_module_1,efficiency_module_1,inverter_quantity_1,additional_inverters,micro_inverter_1,built_in_meter_inverter_1,output_capacity_inverter_1,DC_optimizer,inverter_loading_ratio,state_id,lzip_code_id,zip_code_id,lzip_income,zip_income
18-Apr-17,0.15,1.4,3.799340549,6300,0,1,RES,0,0,94025,MENLO PARK,CA,0,0,190,5,0,0,0,2.447158031,280,0.167664671,5,0,1,0,0.24,0,1.166666667,,4.441600884,27644,6.910014471,8128576
6-Apr-18,0.68,4.8,4.344392274,22100,0,1,RES,0,0,94025,MENLO PARK,CA,0,0,210,16,0,0,0,2.477121255,300,0.186335404,1,0,0,1,3.747,1,1.28102482,,4.441600884,27644,6.910014471,8128576
21-Dec-17,0.97,9.35,4.432295692,27058,0,1,RES,0,0,94025,MENLO PARK,CA,0,0,285,34,0,0,0,2.439332694,275,0.169022741,1,0,0,1,7.616,1,1.227678571,,4.441600884,27644,6.910014471,8128576
31-Oct-18,0.6,3.96,4.017033339,10400,0,1,RES,0,0,94010,BURLINGAME,CA,0,0,123,12,0,0,0,2.51851394,330,0.20625,1,0,0,1,3.747,1,1.056845476,,4.441553751,27641,6.899265958,7929868
2-Aug-18,0.62,4.13,4.164471824,14604,0,1,RES,0,0,95070,SARATOGA,CA,0,0,161,14,0,0,0,2.469822016,295,0.184490306,1,0,0,1,3.747,1,1.102215105,,4.441396603,27631,6.817673037,6571629
23-Feb-17,0.94,8.745,4.290123688,19504,0,1,RES,0,0,95070,SARATOGA,CA,1,0,73,33,0,0,0,2.423245874,265,0.158682635,1,0,0,1,7.625,1,1.146885246,,4.441396603,27631,6.817673037,6571629
11-May-17,0.76,5.76,4.48390096,30472,0,1,RES,0,0,95014,CUPERTINO,CA,0,0,180,18,0,0,0,2.505149978,320,0.185453492,18,0,1,0,0.27,0,1.185185185,,4.441302287,27625,6.799205415,6298040
29-May-18,0.8,6.3,4.50861051,32256,0,1,RES,0,0,95014,CUPERTINO,CA,0,0,92,20,0,0,0,2.498310554,315,0.196875,1,0,0,1,5.2,0,1.211538462,,4.441302287,27625,6.799205415,6298040
1-May-17,1.11,12.753,4.923337294,83818,0,1,RES,0,0,95014,CUPERTINO,CA,0,0,180,39,0,0,0,2.514547753,327,0.200613497,1,0,0,1,7.625,1,1.010939358,,4.441302287,27625,6.799205415,6298040
12-Sep-17,0.58,3.78,4.286761761,19353.6,0,1,RES,1,1,94022,LOS ALTOS,CA,0,0,180,12,0,0,0,2.498310554,315,0.182555781,1,0,0,1,3,0,1.26,,4.441255121,27622,6.790314163,6170412
12-Dec-18,0.56,3.6,4.648211154,44484.75,0,1,RES,1,1,94022,LOS ALTOS HILLS,CA,0,0,226,10,0,0,0,2.556302501,360,0.220723483,10,0,1,0,0.32,0,1.125,,4.441255121,27622,6.790314163,6170412
28-Jun-17,0.98,9.57,4.793825294,62205,0,1,RES,0,0,90210,BEVERLY HILLS,CA,0,0,220,33,0,0,0,2.462397998,290,0.172619048,1,0,0,1,9.94,1,0.96277666,,4.441223674,27620,6.78050057,6032545
9-Jun-17,0.82,6.6,4.606617798,40422,0,1,RES,0,0,92660,NEWPORT BEACH,CA,0,0,221,10,0,0,0,2.525044807,335,0.200598802,1,0,0,1,6.046,1,1.09163083,,4.4411765,27617,6.773668058,5938381
22-Mar-17,0.4,2.52,4.110670502,12902.4,0,1,RES,1,1,94062,REDWOOD CITY,CA,1,0,45,8,0,0,0,2.498310554,315,0.182555781,1,0,0,1,3,0,0.84,,4.441082136,27611,6.749563027,5617758
6-Apr-17,1.01,10.35,4.62838893,42500,0,1,RES,0,0,94062,WOODSIDE,CA,0,0,178,30,0,0,0,2.537819095,345,0.211563769,30,0,1,0,0.32,0,1.078125,,4.441082136,27611,6.749563027,5617758
29-Aug-18,0.77,5.865,4.373831145,23650,0,1,RES,0,0,94024,LOS ALTOS,CA,0,0,186,17,0,0,0,2.537819095,345,0.211563769,1,0,0,1,6.046,1,0.970062851,,4.441066407,27610,6.749344114,5614927
10-Sep-18,0.64,4.32,4.307132191,20283,3.151063253,1416,RES,0,0,90024,Los Angeles,CA,0,0,159,12,0,0,0,2.556302501,360,0.220723483,12,0,1,0,0.32,0,1.125,,4.441003484,27606,6.738604507,5477779
31-Jan-17,0.5,3.18,3.860668544,7255.52,3.155336037,1430,RES,0,0,92130,San Diego,CA,0,0,168,12,0,0,0,2.423245874,265,0.161909184,12,0,1,0,0.24,0,1.104166667,,4.440861874,27597,6.719965441,5247657
12-Dec-17,0.5,3.18,3.860668544,7255.52,3.11991541,1318,RES,0,0,92130,San Diego,CA,1,0,131,12,0,0,0,2.423245874,265,0.161909184,12,0,1,0,0.24,0,1.104166667,,4.440861874,27597,6.719965441,5247657
18-Jul-18,0.55,3.575,4.021189299,10500,0,1,RES,0,0,92130,SAN DIEGO,CA,0,0,90,11,0,0,0,2.511883361,325,0.194145759,1,0,0,1,3.747,1,0.954096611,,4.440861874,27597,6.719965441,5247657
